Feature,Coefficient,Class
Mother's qualification_14,-0.0003855150365821821,Graduate
Mother's qualification_18,-0.12470536442054661,Graduate
Mother's qualification_19,-0.13597588535838281,Graduate
Mother's qualification_22,0.02247910620122361,Graduate
Mother's qualification_26,0.41871329277367075,Graduate
Mother's qualification_29,0.33178269990600034,Graduate
Mother's qualification_30,0.08800095516297966,Graduate
Mother's qualification_34,-0.13946741518061734,Graduate
Mother's qualification_35,-0.07671685888826241,Graduate
Mother's qualification_36,0.0520148214863382,Graduate
Mother's qualification_37,-0.22696487660617332,Graduate
Mother's qualification_38,-0.15776967986484253,Graduate
Mother's qualification_39,0.4316938760103577,Graduate
Mother's qualification_40,-0.4449191408772825,Graduate
Mother's qualification_41,0.4859386900001205,Graduate
Mother's qualification_42,0.04260539387828154,Graduate
Mother's qualification_43,-0.5791629292869069,Graduate
Mother's qualification_44,-0.0851232327788583,Graduate
Father's qualification_1,0.03816388133097092,Graduate
Father's qualification_2,-0.5594211818786798,Graduate
Father's qualification_3,-0.09924387793676663,Graduate
Father's qualification_4,-0.03743234575714541,Graduate
Father's qualification_5,-0.02486353311807217,Graduate
Father's qualification_6,-0.012294484658776928,Graduate
Father's qualification_9,0.7245281391069712,Graduate
Father's qualification_10,-0.26144380651702764,Graduate
Father's qualification_11,0.6030570012920432,Graduate
Father's qualification_12,0.1988627593071448,Graduate
Father's qualification_14,0.2005499773515099,Graduate
Father's qualification_18,-0.12470536442054661,Graduate
Father's qualification_19,0.1344020034924997,Graduate
Father's qualification_20,-0.024752728716613288,Graduate
Father's qualification_22,-0.44610667372951496,Graduate
Father's qualification_25,-0.04931210626256498,Graduate
Father's qualification_26,-0.00012936902034923792,Graduate
Father's qualification_27,-0.002473457665728729,Graduate
Father's qualification_29,-0.04354267219101732,Graduate
Father's qualification_30,0.08675470564755382,Graduate
Father's qualification_31,-0.2554341500601107,Graduate
Father's qualification_34,-0.37076855300211303,Graduate
Father's qualification_35,-0.07671685888826241,Graduate
